,2-cps,3-cps,4-cps,5-cps,6-cps,7-cps,8-cps,9-cps,10-cps
nthroot_07586_data,79.527,78.976,79.123,78.921,79.141,79.178,79.086,79.196,79.16
norm_4_data,80.095,80.205,80.462,80.224,80.205,80.389,80.297,80.407,80.426
nthroot_02759,78.701,78.187,78.444,78.481,78.518,78.72,78.573,78.609,78.371
nthroot_003448,78.224,78.444,78.408,78.059,78.224,78.224,78.426,78.334,78.463
nthroot_02414_data,79.16,79.288,79.086,79.252,79.508,79.673,79.417,79.288,79.417
nthroot_01034,78.041,78.261,78.499,78.609,78.353,78.664,78.609,78.536,78.077
nthroot_08966_data,79.472,79.307,79.49,79.343,79.362,79.453,78.885,79.343,79.472
nthroot_006897,78.408,78.261,78.353,78.151,78.408,78.609,78.609,78.389,78.481
nthroot_01379,78.187,78.646,78.279,78.664,78.279,78.848,78.298,78.646,78.426
nthroot_08621_data,79.031,79.105,79.38,79.215,79.105,79.49,79.233,79.16,79.16
nthroot_09655_data,80.059,79.362,79.141,79.288,79.307,79.472,79.527,79.123,79.637
nthroot_01034_data,79.307,79.343,79.343,79.307,79.38,79.527,79.398,79.527,79.417
nthroot_08621,78.701,78.83,78.756,78.811,78.83,78.995,79.013,79.086,79.215
nthroot_01379_data,79.307,79.362,79.343,79.288,79.398,79.398,79.343,79.288,79.233
nthroot_02759_data,79.545,78.94,79.178,79.215,79.27,79.141,79.252,79.307,79.325
nthroot_04138,78.444,78.683,78.738,78.591,78.885,78.793,78.756,78.756,79.031
nthroot_003448_data,79.582,79.013,79.16,79.288,79.508,79.49,79.472,79.27,79.343
nthroot_0931,78.389,78.518,78.903,78.591,78.591,78.481,78.72,78.701,78.554
nthroot_006897_data,79.288,79.325,79.362,79.252,79.307,79.563,79.453,79.417,79.417
nthroot_06552,79.123,78.775,78.995,79.16,78.903,78.976,79.141,78.628,78.83
norm_2_data,81.159,81.214,81.343,81.159,81.361,81.196,81.269,81.325,81.288
norm_21_data,81.416,81.398,81.38,81.673,81.453,81.6,81.398,81.269,81.398
norm_4,78.976,78.72,78.94,78.903,78.408,78.83,78.903,78.701,78.077
nthroot_02069,78.83,78.518,78.463,78.389,78.481,78.444,78.169,78.261,78.426
nthroot_02069_data,79.362,79.343,79.105,79.196,79.563,79.16,79.38,79.398,79.472
norm_5_data,80.646,80.517,80.719,80.591,80.572,80.554,80.627,80.536,80.646
nthroot_07931_data,79.417,79.325,79.508,79.325,78.94,79.27,79.307,79.178,79.453
nthroot_04483,79.05,78.683,78.885,78.408,78.885,78.976,78.94,79.105,78.903
norm_2,79.912,80.958,81.068,80.701,80.793,80.737,80.774,80.811,80.719
nthroot_log,72.739,73.418,72.5,72.079,72.464,72.354,72.445,72.629,72.445
nthroot_09655,78.848,78.866,79.013,78.958,78.976,78.701,78.903,78.958,79.013
nthroot_log_data,72.023,73.143,72.867,73.326,73.968,73.913,72.647,73.143,73.106
norm_1,80.077,80.022,80.224,79.967,80.095,80.077,80.095,80.114,80.095
norm_5,79.985,80.187,80.132,80.022,80.114,80.114,79.985,80.15,80.004
